date,passage,soil_moisture,lat_pixel,lon_pixel,distance_deg,distance_km
2021-05-01,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-01,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-02,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-02,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-03,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-03,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-04,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-04,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-05,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-05,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-06,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-06,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-07,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-07,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-08,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-08,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-09,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-09,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-10,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-10,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-11,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-11,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-12,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-12,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-13,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-13,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-14,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-14,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-15,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-15,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-16,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-16,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-17,AM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-17,PM,,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-18,AM,0.39840668,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-18,PM,0.44259045,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-19,AM,0.40455046,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-19,PM,0.44401202,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-20,AM,0.48045623,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-20,PM,0.45051587,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-21,AM,0.4510543,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-21,PM,0.52349865,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-22,AM,0.46820164,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-22,PM,0.4433815,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-23,AM,0.37089017,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-23,PM,0.3852535,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-24,PM,0.35128927,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-24,AM,0.3880087,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-25,AM,0.3334473,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-25,PM,0.34973496,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-26,AM,0.30094877,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-26,PM,0.35067156,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-27,AM,0.33381513,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-27,PM,0.38095132,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-28,AM,0.2983067,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-28,PM,0.29541898,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-29,AM,0.35306388,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-29,PM,0.30325177,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-30,AM,0.28645465,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-30,PM,0.3430066,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-31,AM,0.2876086,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-31,PM,0.33286107,67.131714,26.747925,0.028298525139689445,3.150191818550229
