date,passage,soil_moisture,lat_pixel,lon_pixel,distance_deg,distance_km
2021-05-18,AM,0.39840668,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-19,AM,0.40455046,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-20,AM,0.48045623,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-21,AM,0.4510543,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-22,AM,0.46820164,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-23,AM,0.37089017,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-24,PM,0.35128927,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-25,AM,0.3334473,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-26,AM,0.30094877,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-27,AM,0.33381513,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-28,AM,0.2983067,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-29,AM,0.35306388,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-30,AM,0.28645465,67.131714,26.747925,0.028298525139689445,3.150191818550229
2021-05-31,AM,0.2876086,67.131714,26.747925,0.028298525139689445,3.150191818550229
